Material,Grade,Density,TensileStrength,YieldStrength,Hardness,ElasticModulus,CostScore,CorrosionResistance,WearResistance,SustainabilityScore
GOST Steel 20Ch2N4A GOST 4543-71 Quenching and,heating,7.85,680,450,207.0,203000,8.5,4.5,3.314,5.5
GOST Steel 20Ch2N4A GOST 4543-71 Quenching and cooling in the,oil,7.85,1300,1100,207.0,203000,7.0,4.5,5.592,7.0
GOST Steel 20Ch3MVF GOST 20072-74,,7.8,880,735,207.0,207000,8.5,4.5,4.049,6.5
GOST Steel 20ChGNR GOST 4543-71 Quenching and cooling in the,oil,7.8,1300,1200,207.0,213000,7.0,4.5,5.592,7.0
GOST Steel 20ChGNR GOST 4543-71 Quenching and cooling in the,oil,7.8,1450,1400,207.0,213000,7.0,4.5,6.143,7.0
GOST Steel 20ChGSA GOST 4543-71,,7.76,780,635,207.0,213000,8.5,4.5,3.682,6.5
GOST Steel 20ChGSA GOST 4543-71 Quenching and cooling in the,oil,7.76,800,650,207.0,213000,8.5,4.5,3.755,6.5
GOST Steel 20ChMFL GOST 977-88,normalized,7.82,491,275,207.0,200000,8.5,4.5,2.62,5.5
GOST Steel 20ChML GOST 977-88,normalized,7.8,441,245,207.0,215000,8.5,4.5,2.436,5.5
GOST Steel 20ChN GOST 4543-71,,7.85,780,590,207.0,200000,8.5,4.5,3.682,6.5
GOST Steel 20DChL GOST 977-88,normalized,7.82,491,392,207.0,200000,8.5,4.5,2.62,5.5
GOST Steel 20DChL GOST 977-88 Quenched and,tempered,7.82,638,540,207.0,200000,8.5,4.5,3.16,5.5
GOST Steel 20FL GOST 977-88,normalized,7.82,491,294,207.0,200000,8.5,4.5,2.62,5.5
GOST Steel 20G GOST 1050-88,normalized,7.82,460,280,207.0,204000,8.5,4.5,2.506,5.5
GOST Steel 20G GOST 1050-88 Quenching and cooling in the,water,7.82,570,420,207.0,204000,8.5,4.5,2.91,5.5
GOST Steel 20G1FL GOST 977-88,normalized,7.82,510,314,207.0,200000,8.5,4.5,2.69,5.5
GOST Steel 20GL GOST 977-88,normalized,7.82,540,275,207.0,200000,8.5,4.5,2.8,5.5
GOST Steel 20GL GOST 977-88 Quenched and,tempered,7.82,530,334,207.0,205000,8.5,4.5,2.763,5.5
GOST Steel 20GNMFL GOST 977-88,normalized,7.82,589,491,207.0,200000,8.5,4.5,2.98,5.5
GOST Steel 20GNMFL GOST 977-88 Quenched and,tempered,7.82,687,589,207.0,200000,8.5,4.5,3.34,5.5
GOST Steel 20GSL GOST 977-88,normalized,7.82,540,294,207.0,200000,8.5,4.5,2.8,5.5
GOST Steel 20L GOST 977-88,normalized,7.82,412,216,207.0,200000,8.5,4.5,2.33,5.5
GOST Steel 23ChGS2MFL GOST 977-88 Quenched and,tempered,7.82,1275,1079,207.0,200000,7.0,4.5,5.5,7.0
GOST Steel 25 GOST 1050-88,case-hardened,7.82,550,350,207.0,198000,8.5,4.5,2.837,5.5
GOST Steel 25 GOST 1050-88,normalized,7.82,450,275,207.0,198000,8.5,4.5,2.469,5.5
GOST Steel 25 GOST 1050-88 Annealing or high,tempering,7.82,410,270,207.0,198000,8.5,4.5,2.322,5.5
GOST Steel 25 GOST 1050-88 Cold,working,7.82,540,350,207.0,198000,8.5,4.5,2.8,5.5
GOST Steel 25 GOST 1577-93,normalized,7.86,475,220,207.0,206000,8.5,4.5,2.561,5.5
GOST Steel 25 GOST 1577-93,normalized,7.86,495,240,207.0,206000,8.5,4.5,2.635,5.5
GOST Steel 25 GOST 1577-93,normalized,7.86,495,260,207.0,206000,8.5,4.5,2.635,5.5
GOST Steel 25 GOST 1577-93 Quenched and,tempered,7.86,575,320,207.0,206000,8.5,4.5,2.929,5.5
GOST Steel 25 GOST 1577-93 Quenched and,tempered,7.86,625,370,207.0,206000,8.5,4.5,3.112,5.5
GOST Steel 25Ch1MF GOST 20072-74,,7.84,780,665,207.0,213000,8.5,4.5,3.682,6.5
GOST Steel 25Ch1MF GOST 20072-74,,7.84,880,735,207.0,213000,8.5,4.5,4.049,6.5
GOST Steel 25Ch2GNMFL1 GOST 977-88 Quenched and,tempered,7.82,638,491,207.0,200000,8.5,4.5,3.16,5.5
GOST Steel 25Ch2GNMFL2 GOST 977-88 Quenched and,tempered,7.82,1275,1079,207.0,200000,7.0,4.5,5.5,7.0
GOST Steel 25L GOST 977-88,normalized,7.83,441,235,207.0,205000,8.5,4.5,2.436,5.5
GOST Steel 25L GOST 977-88 Quenched and,tempered,7.83,491,294,207.0,205000,8.5,4.5,2.62,5.5
GOST Steel 27Ch5GSML GOST 977-88 Quenched and,tempered,7.82,1472,1177,207.0,200000,7.0,4.5,6.224,7.0
GOST Steel 30 GOST 1050-88,Improved,7.85,600,350,207.0,200000,8.5,4.5,3.02,5.5
GOST Steel 30 GOST 1050-88,normalized,7.85,490,295,207.0,200000,8.5,4.5,2.616,5.5
GOST Steel 30 GOST 1050-88 Annealing or high,tempering,7.85,440,290,207.0,200000,8.5,4.5,2.433,5.5
GOST Steel 30 GOST 1050-88 Cold,working,7.85,560,340,207.0,200000,8.5,4.5,2.873,5.5
GOST Steel 30 GOST 1050-88 Quenched and,tempered,7.85,575,295,207.0,200000,8.5,4.5,2.929,5.5
GOST Steel 30 GOST 1577-93,normalized,7.86,520,230,207.0,206000,8.5,4.5,2.727,5.5
GOST Steel 30 GOST 1577-93,normalized,7.86,540,250,207.0,206000,8.5,4.5,2.8,5.5
GOST Steel 30 GOST 1577-93,normalized,7.86,540,280,207.0,206000,8.5,4.5,2.8,5.5
GOST Steel 30 GOST 1577-93 Quenched and,tempered,7.86,575,300,207.0,206000,8.5,4.5,2.929,5.5
GOST Steel 30 GOST 1577-93 Quenched and,tempered,7.86,625,350,207.0,206000,8.5,4.5,3.112,5.5
GOST Steel 30 GOST 1577-93 Quenched and,tempered,7.86,675,400,207.0,206000,8.5,4.5,3.296,5.5
GOST Steel 30Ch GOST 1577-93 Quenched and,tempered,7.86,725,410,207.0,206000,8.5,4.5,3.48,6.5
GOST Steel 30Ch GOST 1577-93 Quenched and,tempered,7.86,825,550,207.0,206000,8.5,4.5,3.847,6.5
GOST Steel 30Ch GOST 1577-93 Quenched and,tempered,7.86,925,650,207.0,206000,7.0,4.5,4.214,6.5
GOST Steel 30Ch GOST 4543-71,,7.82,880,685,207.0,208000,8.5,4.5,4.049,6.5
GOST Steel 30Ch3S3GML GOST 977-88 Quenched and,tempered,7.82,1766,1472,207.0,200000,5.0,4.5,7.304,7.0
GOST Steel 30ChGS GOST 4543-71,,7.85,1080,835,207.0,213000,7.0,4.5,4.784,6.5
GOST Steel 30ChGS GOST 4543-71,Annealing,7.85,600,360,207.0,213000,8.5,4.5,3.02,5.5
GOST Steel 30ChGSA GOST 4543-71,Improved,7.85,1100,850,207.0,215000,7.0,4.5,4.857,6.5
GOST Steel 30ChGSA GOST 4543-71 Quenching and cooling in the,oil,7.85,1500,1300,207.0,215000,7.0,4.5,6.327,7.0
GOST Steel 30ChGSFL GOST 977-88,normalized,7.82,589,392,207.0,200000,8.5,4.5,2.98,5.5
GOST Steel 30ChGSFL GOST 977-88 Quenched and,tempered,7.82,687,491,207.0,200000,8.5,4.5,3.34,5.5
GOST Steel 30ChGSFL GOST 977-88 Quenched and,tempered,7.82,785,589,207.0,200000,8.5,4.5,3.7,6.5
"GOST Steel 30ChGT GOST 4543-71 Case hardening,quenching and cooling in the",oil,7.8,1100,800,207.0,212000,7.0,4.5,4.857,6.5
GOST Steel 30ChGT GOST 4543-71 Quenching and cooling in the,oil,7.8,1250,1050,207.0,212000,7.0,4.5,5.408,7.0
GOST Steel 30ChM GOST 4543-71 Quenching and cooling in the,oil,7.82,950,750,207.0,208000,7.0,4.5,4.306,6.5
GOST Steel 30ChMA GOST 4543-71,,7.82,930,735,207.0,208000,7.0,4.5,4.233,6.5
GOST Steel 30ChN3A GOST 4543-71,,7.85,980,785,207.0,215000,7.0,4.5,4.416,6.5
GOST Steel 30ChNML GOST 977-88,normalized,7.82,687,540,207.0,200000,8.5,4.5,3.34,5.5
GOST Steel 30ChNML GOST 977-88 Quenched and,tempered,7.82,785,638,207.0,205000,8.5,4.5,3.7,6.5
GOST Steel 30G GOST 1050-88,normalized,7.81,550,320,207.0,200000,8.5,4.5,2.837,5.5
GOST Steel 30G GOST 1050-88 Quenching and cooling in the,water,7.81,680,560,207.0,200000,8.5,4.5,3.314,5.5
GOST Steel 30GSL GOST 977-88,normalized,7.82,589,343,207.0,200000,8.5,4.5,2.98,5.5
GOST Steel 30GSL GOST 977-88 Quenched and,tempered,7.82,638,392,207.0,200000,8.5,4.5,3.16,5.5
GOST Steel 30GSL GOST 977-88 Quenching and cooling in the,water,7.82,638,392,207.0,200000,8.5,4.5,3.16,5.5
GOST Steel 30L GOST 977-88,normalized,7.81,471,255,207.0,210000,8.5,4.5,2.547,5.5
GOST Steel 30L GOST 977-88 Quenched and,tempered,7.81,491,294,207.0,205000,8.5,4.5,2.62,5.5
GOST Steel 32Ch06L GOST 977-88 Quenched and,tempered,7.85,638,491,207.0,205000,8.5,4.5,3.16,5.5
GOST Steel 33ChS GOST 4543-71,normalized,7.64,600,300,207.0,214000,8.5,4.5,3.02,5.5
GOST Steel 33ChS GOST 4543-71 Quenching and cooling in the,oil,7.64,900,700,207.0,214000,8.5,4.5,4.122,6.5
GOST Steel 35 GOST 1050-88,Improved,7.826,650,380,207.0,206000,8.5,4.5,3.204,5.5
GOST Steel 35 GOST 1050-88,normalized,7.826,530,315,207.0,206000,8.5,4.5,2.763,5.5
GOST Steel 35 GOST 1050-88 Annealing or high,tempering,7.826,470,310,207.0,206000,8.5,4.5,2.543,5.5
GOST Steel 35 GOST 1050-88 Cold,working,7.826,590,350,207.0,206000,8.5,4.5,2.984,5.5
GOST Steel 35 GOST 1050-88 Quenched and,tempered,7.826,625,315,207.0,206000,8.5,4.5,3.112,5.5
GOST Steel 35 GOST 1050-88 Quenching and cooling in the,water,7.826,1000,650,207.0,206000,7.0,4.5,4.49,6.5
GOST Steel 35 GOST 1577-93,normalized,7.86,555,245,207.0,206000,8.5,4.5,2.855,5.5
GOST Steel 35 GOST 1577-93,normalized,7.86,575,270,207.0,206000,8.5,4.5,2.929,5.5
GOST Steel 35 GOST 1577-93,normalized,7.86,575,300,207.0,206000,8.5,4.5,2.929,5.5
GOST Steel 35 GOST 1577-93 Quenched and,tempered,7.86,625,320,207.0,206000,8.5,4.5,3.112,5.5
GOST Steel 35 GOST 1577-93 Quenched and,tempered,7.86,675,370,207.0,206000,8.5,4.5,3.296,5.5
GOST Steel 35 GOST 1577-93 Quenched and,tempered,7.86,705,430,207.0,206000,8.5,4.5,3.406,6.5
GOST Steel 35Ch GOST 4543-71,,7.85,910,735,207.0,214000,7.0,4.5,4.159,6.5
GOST Steel 35ChGSL GOST 977-88,normalized,7.8,589,343,207.0,215000,8.5,4.5,2.98,5.5
GOST Steel 35ChGSL GOST 977-88 Quenched and,tempered,7.8,785,589,207.0,205000,8.5,4.5,3.7,6.5
GOST Steel 35ChGSL GOST 977-88 Quenching and cooling in the,water,7.8,785,589,207.0,215000,8.5,4.5,3.7,6.5
GOST Steel 35ChM GOST 4543-71,,7.82,930,835,207.0,213000,7.0,4.5,4.233,6.5
GOST Steel 35ChM GOST 4543-71 Quenching and cooling in the,oil,7.82,1000,850,207.0,213000,7.0,4.5,4.49,6.5
GOST Steel 35ChM GOST 4543-71 Quenching and cooling in the,oil,7.82,1600,1400,207.0,213000,5.0,4.5,6.694,7.0
GOST Steel 35ChML GOST 977-88,normalized,7.84,589,392,207.0,215000,8.5,4.5,2.98,5.5
GOST Steel 35ChML GOST 977-88 Quenched and,tempered,7.84,687,540,207.0,205000,8.5,4.5,3.34,5.5
GOST Steel 35G2 GOST 4543-71,normalized,7.79,630,370,207.0,204000,8.5,4.5,3.131,5.5
GOST Steel 35G2 GOST 4543-71 Quenching and cooling in the,water,7.79,800,650,207.0,204000,8.5,4.5,3.755,6.5
GOST Steel 35GL GOST 977-88,normalized,7.82,540,294,207.0,200000,8.5,4.5,2.8,5.5
GOST Steel 35GL GOST 977-88 Quenched and,tempered,7.82,589,343,207.0,200000,8.5,4.5,2.98,5.5
GOST Steel 35GL GOST 977-88 Quenching and cooling in the,water,7.82,589,343,207.0,200000,8.5,4.5,2.98,5.5
GOST Steel 35L GOST 977-88,normalized,7.83,491,275,207.0,212000,8.5,4.5,2.62,5.5
GOST Steel 35L GOST 977-88 Quenched and,tempered,7.83,540,343,207.0,205000,8.5,4.5,2.8,5.5
GOST Steel 35NGML GOST 977-88 Quenched and,tempered,7.82,736,589,207.0,200000,8.5,4.5,3.52,6.5
GOST Steel 38Ch210 GOST 4543-71 Quenching and cooling in the,oil,7.85,800,700,207.0,215000,8.5,4.5,3.755,6.5
GOST Steel 38Ch2MJuA GOST 4543-71,,7.86,980,835,207.0,206000,7.0,4.5,4.416,6.5
GOST Steel 38ChA GOST 1577-93 Quenched and,tempered,7.86,825,510,207.0,206000,8.5,4.5,3.847,6.5
GOST Steel 38ChA GOST 1577-93 Quenched and,tempered,7.86,925,630,207.0,206000,7.0,4.5,4.214,6.5
GOST Steel 38ChA GOST 1577-93 Quenched and,tempered,7.86,1050,750,207.0,206000,7.0,4.5,4.673,6.5
GOST Steel 38ChA GOST 4543-71 Quenched and,tempered,7.86,930,785,207.0,206000,7.0,4.5,4.233,6.5
GOST Steel 38ChS GOST 4543-71,Improved,7.64,950,750,207.0,211000,7.0,4.5,4.306,6.5
GOST Steel 40 GOST 1050-88,Improved,7.85,700,400,207.0,212000,8.5,4.5,3.388,5.5
GOST Steel 40 GOST 1050-88,normalized,7.85,570,335,207.0,212000,8.5,4.5,2.91,5.5
GOST Steel 40 GOST 1050-88 Annealing or high,tempering,7.85,510,330,207.0,212000,8.5,4.5,2.69,5.5
GOST Steel 40 GOST 1050-88 Cold,working,7.85,610,380,207.0,212000,8.5,4.5,3.057,5.5
GOST Steel 40 GOST 1050-88 Quenched and,tempered,7.85,675,355,207.0,212000,8.5,4.5,3.296,5.5
GOST Steel 40 GOST 1050-88 Quenching and cooling in the,water,7.85,1000,650,207.0,212000,7.0,4.5,4.49,6.5
GOST Steel 40 GOST 1577-93,normalized,7.86,605,260,207.0,206000,8.5,4.5,3.039,5.5
GOST Steel 40 GOST 1577-93,normalized,7.86,625,290,207.0,206000,8.5,4.5,3.112,5.5
GOST Steel 40 GOST 1577-93,normalized,7.86,625,320,207.0,206000,8.5,4.5,3.112,5.5
GOST Steel 40 GOST 1577-93 Quenched and,tempered,7.86,675,350,207.0,206000,8.5,4.5,3.296,5.5
GOST Steel 40 GOST 1577-93 Quenched and,tempered,7.86,705,400,207.0,206000,8.5,4.5,3.406,6.5
GOST Steel 40 GOST 1577-93 Quenched and,tempered,7.86,725,460,207.0,206000,8.5,4.5,3.48,6.5
GOST Steel 40Ch GOST 1577-93 Quenched and,tempered,7.86,875,560,207.0,206000,8.5,4.5,4.031,6.5
GOST Steel 40Ch GOST 1577-93 Quenched and,tempered,7.86,1000,660,207.0,206000,7.0,4.5,4.49,6.5
GOST Steel 40Ch GOST 1577-93 Quenched and,tempered,7.86,1100,800,207.0,206000,7.0,4.5,4.857,6.5
GOST Steel 40Ch GOST 4543-71,,7.85,980,785,207.0,214000,7.0,4.5,4.416,6.5
GOST Steel 40Ch GOST 4543-71,Improved,7.85,800,650,207.0,214000,8.5,4.5,3.755,6.5
GOST Steel 40Ch GOST 4543-71,normalized,7.85,630,330,207.0,214000,8.5,4.5,3.131,5.5
GOST Steel 40Ch GOST 4543-71 Quenching and cooling in the,oil,7.85,1100,900,207.0,214000,7.0,4.5,4.857,6.5
GOST Steel 40Ch GOST 4543-71 Quenching and cooling in the,oil,7.85,1300,1100,207.0,214000,7.0,4.5,5.592,7.0
GOST Steel 40ChFA GOST 4543-71 Quenching and cooling in the,oil,7.81,900,750,207.0,215000,8.5,4.5,4.122,6.5
GOST Steel 40ChFA GOST 4543-71 Quenching and cooling in the,oil,7.81,1600,1300,207.0,215000,5.0,4.5,6.694,7.0
GOST Steel 40ChL GOST 977-88 Quenching and cooling in the,oil,7.84,638,491,207.0,219000,8.5,4.5,3.16,5.5
GOST Steel 40ChN GOST 4543-71,,7.85,980,785,207.0,200000,7.0,4.5,4.416,6.5
GOST Steel 40ChN GOST 4543-71,normalized,7.85,780,460,207.0,200000,8.5,4.5,3.682,6.5
GOST Steel 40ChN GOST 4543-71 Quenching and cooling in the,oil,7.85,1200,1000,207.0,200000,7.0,4.5,5.224,6.5
GOST Steel 40G GOST 1050-88,normalized,7.81,600,360,207.0,204000,8.5,4.5,3.02,5.5
GOST Steel 40G GOST 1050-88 Quenching and cooling in the,water,7.81,840,590,207.0,204000,8.5,4.5,3.902,6.5
GOST Steel 40G2 GOST 4543-71,normalized,7.8,670,390,207.0,212000,8.5,4.5,3.278,5.5
GOST Steel 40G2 GOST 4543-71 Quenching and cooling in the,oil,7.8,1120,950,207.0,212000,7.0,4.5,4.931,6.5
GOST Steel 40L GOST 977-88,normalized,7.81,520,294,207.0,215000,8.5,4.5,2.727,5.5
GOST Steel 40L GOST 977-88 Quenched and,tempered,7.81,540,343,207.0,205000,8.5,4.5,2.8,5.5
GOST Steel 45 GOST 1050-88,Improved,7.81,750,450,207.0,200000,8.5,4.5,3.571,6.5
GOST Steel 45 GOST 1050-88,normalized,7.81,600,355,207.0,200000,8.5,4.5,3.02,5.5
GOST Steel 45 GOST 1050-88 Annealing or high,tempering,7.81,540,350,207.0,200000,8.5,4.5,2.8,5.5
GOST Steel 45 GOST 1050-88 Cold,working,7.81,640,440,207.0,200000,8.5,4.5,3.167,5.5
GOST Steel 45 GOST 1050-88 Quenched and,tempered,7.81,705,375,207.0,200000,8.5,4.5,3.406,6.5
GOST Steel 45 GOST 1050-88 Quenching and,heating,7.81,750,450,207.0,200000,8.5,4.5,3.571,6.5
GOST Steel 45 GOST 1050-88 Quenching and cooling in the,oil,7.81,900,650,207.0,200000,8.5,4.5,4.122,6.5
GOST Steel 45 GOST 1050-88 Quenching and cooling in the,water,7.81,1000,700,207.0,200000,7.0,4.5,4.49,6.5
GOST Steel 45 GOST 1050-88 Quenching and cooling in the,water,7.81,1200,950,207.0,200000,7.0,4.5,5.224,6.5
GOST Steel 45 GOST 1577-93,normalized,7.86,655,275,207.0,206000,8.5,4.5,3.222,5.5
GOST Steel 45 GOST 1577-93,normalized,7.86,675,305,207.0,206000,8.5,4.5,3.296,5.5
GOST Steel 45 GOST 1577-93,normalized,7.86,675,340,207.0,206000,8.5,4.5,3.296,5.5
GOST Steel 45 GOST 1577-93 Quenched and,tempered,7.86,705,370,207.0,206000,8.5,4.5,3.406,6.5
GOST Steel 45 GOST 1577-93 Quenched and,tempered,7.86,725,430,207.0,206000,8.5,4.5,3.48,6.5
GOST Steel 45 GOST 1577-93 Quenched and,tempered,7.86,775,500,207.0,206000,8.5,4.5,3.663,6.5
GOST Steel 45Ch GOST 4543-71,,7.82,1030,835,207.0,206000,7.0,4.5,4.6,6.5
GOST Steel 45Ch GOST 4543-71,Improved,7.82,950,750,207.0,206000,7.0,4.5,4.306,6.5
GOST Steel 45Ch GOST 4543-71,normalized,7.82,650,350,207.0,206000,8.5,4.5,3.204,5.5
GOST Steel 45Ch GOST 4543-71 Quenching and cooling in the,oil,7.82,1400,1200,207.0,206000,7.0,4.5,5.959,7.0
GOST Steel 45ChN GOST 4543-71,,7.82,1030,835,207.0,200000,7.0,4.5,4.6,6.5
GOST Steel 45FL GOST 977-88,normalized,7.82,589,392,207.0,200000,8.5,4.5,2.98,5.5
GOST Steel 45FL GOST 977-88 Quenched and,tempered,7.82,638,441,207.0,200000,8.5,4.5,3.16,5.5
GOST Steel 45G2 GOST 4543-71,normalized,7.81,700,410,207.0,204000,8.5,4.5,3.388,5.5
GOST Steel 45G2 GOST 4543-71 Quenching and cooling in the,oil,7.81,850,700,207.0,204000,8.5,4.5,3.939,6.5
GOST Steel 45L GOST 977-88,normalized,7.8,540,314,207.0,215000,8.5,4.5,2.8,5.5
GOST Steel 45L GOST 977-88 Quenched and,tempered,7.8,589,392,207.0,205000,8.5,4.5,2.98,5.5
GOST Steel 50 GOST 1050-88,Improved,7.81,900,700,207.0,216000,8.5,4.5,4.122,6.5
GOST Steel 50 GOST 1050-88,normalized,7.81,600,355,207.0,216000,8.5,4.5,3.02,5.5
GOST Steel 50 GOST 1050-88 Annealing or high,tempering,7.81,560,370,207.0,216000,8.5,4.5,2.873,5.5
GOST Steel 50 GOST 1050-88 Cold,working,7.81,660,450,207.0,216000,8.5,4.5,3.241,5.5
GOST Steel 50 GOST 1050-88 Quenched and,tempered,7.81,725,400,207.0,216000,8.5,4.5,3.48,6.5
GOST Steel 50 GOST 1577-93,normalized,7.86,690,290,207.0,206000,8.5,4.5,3.351,5.5
GOST Steel 50 GOST 1577-93,normalized,7.86,710,320,207.0,206000,8.5,4.5,3.424,6.5
GOST Steel 50 GOST 1577-93,normalized,7.86,710,355,207.0,206000,8.5,4.5,3.424,6.5
GOST Steel 50 GOST 1577-93 Quenched and,tempered,7.86,725,400,207.0,206000,8.5,4.5,3.48,6.5
GOST Steel 50 GOST 1577-93 Quenched and,tempered,7.86,775,460,207.0,206000,8.5,4.5,3.663,6.5
GOST Steel 50 GOST 1577-93 Quenched and,tempered,7.86,825,520,207.0,206000,8.5,4.5,3.847,6.5
GOST Steel 50Ch GOST 4543-71,,7.86,1080,885,207.0,207000,7.0,4.5,4.784,6.5
GOST Steel 50Ch GOST 4543-71,normalized,7.86,650,350,207.0,207000,8.5,4.5,3.204,5.5
GOST Steel 50Ch GOST 4543-71 Quenching and cooling in the,oil,7.86,1500,1300,207.0,207000,7.0,4.5,6.327,7.0
GOST Steel 50ChFA GOST 14959-79 heat,treated,7.86,1270,1080,207.0,206000,7.0,4.5,5.482,7.0
GOST Steel 50ChGA GOST 14959-79 heat,treated,7.86,1270,1175,207.0,206000,7.0,4.5,5.482,7.0
GOST Steel 50ChGFA GOST 14959-79 heat,treated,7.86,1420,1325,207.0,206000,7.0,4.5,6.033,7.0
GOST Steel 50ChN GOST 4543-71,,7.86,1080,885,207.0,200000,7.0,4.5,4.784,6.5
GOST Steel 50G GOST 1050-88,normalized,7.81,660,400,207.0,216000,8.5,4.5,3.241,5.5
GOST Steel 50G GOST 1050-88 Quenching and cooling in the,water,7.81,820,560,207.0,216000,8.5,4.5,3.829,6.5
GOST Steel 50L GOST 977-88,normalized,7.82,569,334,207.0,219000,8.5,4.5,2.907,5.5
GOST Steel 50L GOST 977-88 Quenched and,tempered,7.82,736,392,207.0,205000,8.5,4.5,3.52,6.5
GOST Steel 55 GOST 1050-88,normalized,7.82,630,375,207.0,210000,8.5,4.5,3.131,5.5
GOST Steel 55 GOST 1050-88 Quenched and,tempered,7.82,775,420,207.0,210000,8.5,4.5,3.663,6.5
GOST Steel 55 GOST 1577-93,normalized,7.86,730,300,207.0,206000,8.5,4.5,3.498,6.5
GOST Steel 55 GOST 1577-93,normalized,7.86,750,330,207.0,206000,8.5,4.5,3.571,6.5
GOST Steel 55 GOST 1577-93,normalized,7.86,750,370,207.0,206000,8.5,4.5,3.571,6.5
GOST Steel 55 GOST 1577-93 Quenched and,tempered,7.86,775,430,207.0,206000,8.5,4.5,3.663,6.5
GOST Steel 55 GOST 1577-93 Quenched and,tempered,7.86,825,500,207.0,206000,8.5,4.5,3.847,6.5
GOST Steel 55 GOST 1577-93 Quenched and,tempered,7.86,875,550,207.0,206000,8.5,4.5,4.031,6.5
GOST Steel 55S2 GOST 14959-79 heat,treated,7.86,1270,1175,207.0,206000,7.0,4.5,5.482,7.0
GOST Steel 60 GOST 1050-88,normalized,7.81,680,400,207.0,204000,8.5,4.5,3.314,5.5
GOST Steel 60 GOST 1050-88 Quenched and,tempered,7.81,825,450,207.0,204000,8.5,4.5,3.847,6.5
GOST Steel 60 GOST 1577-93,normalized,7.86,755,310,207.0,206000,8.5,4.5,3.59,6.5
GOST Steel 60 GOST 1577-93,normalized,7.86,785,340,207.0,206000,8.5,4.5,3.7,6.5
GOST Steel 60 GOST 1577-93,normalized,7.86,785,380,207.0,206000,8.5,4.5,3.7,6.5
GOST Steel 60 GOST 1577-93 Quenched and,tempered,7.86,825,450,207.0,206000,8.5,4.5,3.847,6.5
GOST Steel 60 GOST 1577-93 Quenched and,tempered,7.86,875,520,207.0,206000,8.5,4.5,4.031,6.5
GOST Steel 60 GOST 1577-93 Quenched and,tempered,7.86,925,580,207.0,206000,7.0,4.5,4.214,6.5
GOST Steel 65G GOST 1050-88,Improved,7.85,900,700,207.0,215000,8.5,4.5,4.122,6.5
GOST Steel 65G GOST 1050-88,normalized,7.85,750,440,207.0,215000,8.5,4.5,3.571,6.5
GOST Steel 65G GOST 1050-88 Quenching and cooling in the,water,7.85,1500,1250,207.0,215000,7.0,4.5,6.327,7.0
GOST Steel A11 GOST 1414-75,,7.86,490,390,207.0,216000,8.5,4.5,2.616,5.5
GOST Steel A12 GOST 1414-75,,7.86,460,390,207.0,216000,8.5,4.5,2.506,5.5
GOST Steel A12 GOST 1414-75,,7.86,510,390,207.0,216000,8.5,4.5,2.69,5.5
GOST Steel A20 GOST 1414-75,,7.86,530,390,207.0,216000,8.5,4.5,2.763,5.5
GOST Steel A30 GOST 1414-75,,7.86,540,390,207.0,216000,8.5,4.5,2.8,5.5
GOST Steel A35 GOST 1414-75,,7.86,570,390,207.0,216000,8.5,4.5,2.91,5.5
GOST Steel S235 GOST 27772-88,,7.86,360,225,207.0,206000,8.5,4.5,2.139,5.5
GOST Steel S245 GOST 27772-88,,7.86,370,235,207.0,206000,8.5,4.5,2.176,5.5
GOST Steel S255 GOST 27772-88,,7.86,370,245,207.0,206000,8.5,4.5,2.176,5.5
GOST Steel S285 GOST 27772-88,,7.86,390,265,207.0,206000,8.5,4.5,2.249,5.5
GOST Steel S345 GOST 27772-88,,7.86,450,325,207.0,206000,8.5,4.5,2.469,5.5
GOST Steel S375 GOST 27772-88,,7.86,480,335,207.0,206000,8.5,4.5,2.58,5.5
GOST Steel ST3CP GOST 380-94,,7.856,380,255,207.0,201000,8.5,4.5,2.212,5.5
GOST Steel ST3KP GOST 380-94,,7.856,360,235,207.0,201000,8.5,4.5,2.139,5.5
GOST Steel ST3PC GOST 380-94,,7.856,370,245,207.0,201000,8.5,4.5,2.176,5.5
GOST Steel ST4KP GOST 380-94,,7.856,400,255,207.0,201000,8.5,4.5,2.286,5.5
GOST Steel ST4PS GOST 380-94,,7.856,410,265,207.0,201000,8.5,4.5,2.322,5.5
GOST Steel ST4SP GOST 380-94,,7.856,410,265,207.0,201000,8.5,4.5,2.322,5.5
GOST Steel ST5PS GOST 380-94,,7.856,490,285,207.0,201000,8.5,4.5,2.616,5.5
GOST Steel ST5SP GOST 380-94,,7.856,490,295,207.0,201000,8.5,4.5,2.616,5.5
GOST Steel ST6PS GOST 380-94,,7.856,590,315,207.0,201000,8.5,4.5,2.984,5.5
GOST Steel ST6SP GOST 380-94,,7.856,600,320,207.0,201000,8.5,4.5,3.02,5.5
Grey cast iron,Standard,7.16,150,150,190.0,85000,7.0,3.5,2.938,4.5
Grey cast iron,Standard,7.16,200,200,210.0,85000,7.0,3.5,3.215,4.5
Grey cast iron,Standard,7.16,250,250,230.0,85000,7.0,3.5,3.492,4.5
Grey cast iron,Standard,7.16,300,300,250.0,85000,7.0,3.5,3.769,4.5
Grey cast iron,Standard,7.16,350,350,260.0,85000,7.0,3.5,3.908,4.5
Grey cast iron 10 GOST1412-85,Standard,6.8,100,50,190.0,90000,7.0,3.5,2.938,4.5
Grey cast iron 15 GOST1412-85,Standard,7.0,150,75,210.0,90000,7.0,3.5,3.215,4.5
